antenna 			(n) {C1} {insects, worms, etc} {engineering} {tv, radio and news} {houses and homes} антенна
office 			(n) {A1} {working life} {houses and homes} офис, {A1} {transport by bus and train} бюро, служба, должность, пост, {A2} {politics} управление
room 			(n) {A1} {houses and homes} {holidays} комната, номер
rooms 			-es: (n) {A1} {houses and homes} {holidays} комната, номер
shelf 			(n) {B1} {houses and homes} {shopping} полка, shelf-shelves
shelves 			-es: (n) {B1} {houses and homes} {shopping} полка, shelf-shelves
socket 			(n) гнездо, {C1} {houses and homes} розетка, муфта
sockets 			-es: (n) гнездо, {C1} {houses and homes} розетка, муфта
sofa 			(n) {A1} {houses and homes} софа, диван
sofas 			-es: (n) {A1} {houses and homes} софа, диван
strip 			(n) {C1} полоса; (v) {C1} {clothes and fashion} {houses and homes} {buildings} раздеваться, обнажать
stripped 			-ed: (v) {C1} {clothes and fashion} {houses and homes} {buildings} раздеваться, обнажать
stripping 			-ing: (v) {C1} {clothes and fashion} {houses and homes} {buildings} раздеваться, обнажать
strips 			-es: (n) {C1} полоса; -es: (v) {C1} {clothes and fashion} {houses and homes} {buildings} раздеваться, обнажать
studies 			-es: (n) {A1} {education} {B1} {scientific research} изучение, {B1} {houses and homes} рабочий кабинет; -es: (v) {A1} {education} {{B1} scientific research} изучать
study 			(n) {A1} {education} {B1} {scientific research} изучение, {B1} {houses and homes} рабочий кабинет; (v) {A1} {education} {{B1} scientific research} изучать
survey 			(n) {A2} {opinion and argument} {scientific research} обзор, обследование, исследование, {C1] {houses and homes} осмотр; (v) {C1} {geography} {houses and homes} обследовать
surveyed 			-ed: (v) {C1} {geography} {houses and homes} обследовать
surveying 			-ing: (v) {C1} {geography} {houses and homes} обследовать
surveys 			-es: (n) {A2} {opinion and argument} {scientific research} обзор, обследование, исследование, {C1] {houses and homes} осмотр; -es: (v) {C1} {geography} {houses and homes} обследовать
table 			(n) {A1} {houses and homes} стол, таблица
tables 			-es: (n) {A1} {houses and homes} стол, таблица
television 			(n) {A1} {tv, radio and news} {houses and homes} телевидение; (adj) телевизионный
televisions 			-es: (n) {A1} {tv, radio and news} {houses and homes} телевидение
tenant 			(n) {C1} {houses and homes} арендатор, жилец, наниматель, квартиросъемщик
tenants 			-es: (n) {C1} {houses and homes} арендатор, жилец, наниматель, квартиросъемщик
vacant 			(adj) {C1} {building} {houses and homes} вакантный, свободный, пустой
wall 			(n) {A1} {buidings} {houses and homes} стена, стенка; (adj) настенный
walls 			-es: (n) {A1} {buidings} {houses and homes} стена, стенка
wardrobe 			(n) {B1} {houses and homes} {B2} {clothes and fashion} {C2} {film and theatre} гардероб
wardrobes 			-es: (n) {B1} {houses and homes} {B2} {clothes and fashion} {C2} {film and theatre} гардероб
