{A1}

(article)
    0. (1076) 3T *#PT a [æ/eɪ] (article) {A1} indefinite - a/an; (letter) A b c d
              3T *#  an [æn] (article) {A1} indefinite - a/an
  546. (  2) 4T *#PT off [ɒf] (adj) выключенный, дальний, свободный; (prep) {A1} от, с, у; (adv) {A1} {A2} {working life} выключено, вон; (v) прекращать
  565. (  2) 4T *#PT out [aʊt] (prep) {A1} вне, из, вне, за; (n) аут, выход; (adv) вне, наружу; (adj) наружный, внешний; (v) изгнать
  566. (  1) 3T *#PT outside [ˌaʊtˈsaɪd] (adv) {A1} вне, снаружи, наружу; (prep) {A2} вне, за пределами; (adj) {A2} внешний, наружный; (n) {A2} внешность, {B2} {transport by car or lorry} наружная сторона, внешний мир
  567. (  2) 4T *#PT over [ˈəʊvə] (prep) {A1} над, за, свыше, через, в течение, поверх; (adv) {A1} свыше, сверх

(conj)
   34. (  1) 3T *#PT and [ænd] (conj) {A1} и, а, но; (n) конъюнкция
   52. (  1) 3T *#PT as [æz] (adv) {A2} как, согласно, как например; (conj) {A2} как, так как, когда; (adj) в качестве; (prop) {A1} что, который
  249. (  1) 3T *#PT else [ɛls] (adv) {A1} еще, иначе; (pron) другой; (conj) иначе
  391. (  1) 3T *#PT however [haʊˈɛvə] (adv)(conj) {A1} однако, впрочем, тем не менее
  398. (  1) 3T *#PT if [ɪf] (conj) {A1} если, ли, {B1} {opinion and argument} если бы; (n) условие, предположение, неуверенность
  560. (  1) 3T *#PT or [ɔː] (conj) {A1} или, либо; (n) дизъюнкция, желтый цвет

(particle)
  536. (  1) 3T *#PT not [nɒt] (particle) {A1} не, нет, ни

(determiner)
   28. (  2) 3T *#PT all [ɔːl] (adj)(determiner}t {A1} все, весь; (n) все; (pron) {A1} все, весь, вся; (adv) {A2} совершенно, всецело, вполне
   38. (  2) 3T *#PT another [əˈnʌðə] (adj)(determiner) {A1} другой, иной, подобный; (pron) {A1} еще один, отличный от, похожий
  104. (  2) 3T *#PT both [bəʊθ] (pron)(adj) (determiner} {A1} оба, обе
  236. (  3) 3T *#PT each [iːʧ] (pron) {A1} каждый, любой; (adj) {A1} каждый, всякий
  259. (  1) 3T *#PT every [ˈɛvri] (adj) каждый, все, полный, абсолютный; (pron)(determiner} {A1} каждый, любой
  290. (  3) 3T *#PT few [fjuː] (adj)(determiner)(pron) {A1} немногие, немногочисленные; (adv) мало, немного
  355. (  3) 3T *#PT half [(UK)hɑːf/(US)hæf] (n) {A1} {sports: ball and racket sports} половина, I: half-halve; (adv) {A2} наполовину; (adj)(determiner}{pron} {A1} половиный
  454. (  3) 3T *#PT little [ˈlɪtl] (adv) {A2} немного, мало; (adj)(determiner}{pron} {A1} небольшой; (n) немногое, пустяк
  460. (  3) 3T *#PT lot [lɑt/lɔt] (adv)(pron)(determiner) {A1} много, намного, гораздо, много; (n) лот, партия, масса; (v) дробить на участки
  468. (  2) 3T *#PT many [ˈmɛni] (adv) {A1} много, множество; (adj) {A1} многие
  500. (  3) 3T *#PT more [mɔː] (adv) {A1} более, больше, еще
  502. (  3) 3T *#PT most [məʊst] (n) большинство; (adv) {A1} больше всего, наиболее; (suffix) самый; (pron)(adj)(determiner) {A1} наибольший
  509. (  3) 3T *#PT much [mʌʧ] (adv)(pron)(determiner) {A1}  много, гораздо, значительно; (n) многое
  563. (  2) 3T *#PT other [ˈʌðə] (adj)(pron) {A1} другой, остальные, иной; (adv) иначе

   41. (  1) 3T *#PT anyone [ˈɛniˌwʌn] (pron) {A1} любой, никто, всякий
